age,gender,employment,country,shop_freq,platform,monthly_spend,review_read_freq,reviews_read_n,key_review_feature,returned_product,bought_without_reviews,RQ1,RQ2,RQ3,RQ4,VPT1,VPT2,VPT3,RIN1,RIN2,RIN3,RIN4,PI,shop_freq_n,review_read_n,reviews_read_num,spend_n,review_reliance,returned_n,longstring,careless_flag
18–24,Female,Full-time employed,India,Monthly,Amazon,Less than £50,Always,4–6,Written Review,Yes,Rarely,5.0,5.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,2,3,5,2,1,3,1,2,0
18–24,Male,Student,India,Monthly,Amazon,£101–£250,Always,7–10,Verified Purchase Badge,Yes,Rarely,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,5,3,3,3,1,11,0
18–24,Female,Student,India,Monthly,Flipkart,Less than £50,Always,4–6,Customer Photos,Yes,Never,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,5,2,1,4,1,9,0
18–24,Male,Self-employed,India,Every few months,Amazon,Less than £50,Always,7–10,Customer Photos,Yes,Rarely,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,5,3,1,3,1,11,0
18–24,Male,Student,India,Rarely,Amazon,Less than £50,Always,More than 10,Star Rating,Yes,Frequently,,,,,,,,,,,,3,1,5,4,1,1,1,0,0
18–24,Female,Part-time employed,India,More than once a week,SHEIN,£50–£100,Often,1–3,Customer Photos,No,Never,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,5,4,1,2,4,0,11,0
25–34,Female,Full-time employed,United Kingdom,Weekly,Amazon,£50–£100,Always,4–6,Customer Photos,Yes,Sometimes,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4,4,5,2,2,2,1,5,0
18–24,Female,Full-time employed,United Kingdom,Monthly,SHEIN,£50–£100,Always,4–6,Customer Photos,Yes,Sometimes,3.0,5.0,5.0,1.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3,3,5,2,2,2,1,3,0
18–24,Male,Full-time employed,Canada,More than once a week,Amazon,£50–£100,Always,1–3,Star Rating,No,Sometimes,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3,5,5,1,2,2,0,1,0
18–24,Female,Student,India,Monthly,Amazon,£101–£250,Often,7–10,Written Review,Yes,Sometimes,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4,3,4,3,3,2,1,4,0
18–24,Male,Student,United Kingdom,Every few months,Temu,Less than £50,Always,4–6,Customer Photos,Yes,Rarely,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4,2,5,2,1,3,1,3,0
25–34,Male,Full-time employed,United Kingdom,Every few months,Other,£50–£100,Always,7–10,Written Review,Yes,Sometimes,3.0,5.0,4.0,5.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,3,2,5,3,2,2,1,2,0
18–24,Male,Self-employed,India,More than once a week,Other,£50–£100,Sometimes,1–3,Customer Photos,Yes,Sometimes,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3,5,3,1,2,2,1,3,0
18–24,Female,Student,India,Rarely,Amazon,Less than £50,Always,4–6,Customer Photos,Yes,Sometimes,3.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4,1,5,2,1,2,1,2,0
18–24,Female,Student,India,Weekly,SHEIN,£50–£100,Always,4–6,Star Rating,Yes,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,4,5,2,2,3,1,11,0
18–24,Female,Student,India,Every few months,Amazon,Less than £50,Always,7–10,Customer Photos,Yes,Never,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4,2,5,3,1,4,1,2,0
25–34,Male,Part-time employed,Canada,Rarely,Amazon,£101–£250,Always,More than 10,Verified Purchase Badge,Yes,Rarely,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3,1,5,4,3,3,1,6,0
18–24,Male,Student,India,Rarely,Amazon,Less than £50,Often,4–6,Customer Photos,No,Rarely,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4,1,4,2,1,3,0,3,0
18–24,Female,Student,India,Every few months,Flipkart,£50–£100,Always,More than 10,Customer Photos,Yes,Sometimes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,2,5,4,2,2,1,11,0
45–54,Female,Other,India,Every few months,Amazon,£50–£100,Always,4–6,Customer Photos,Yes,Rarely,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4,2,5,2,2,3,1,4,0
25–34,Male,Full-time employed,India,Rarely,Amazon,£50–£100,Always,4–6,Star Rating,Yes,Rarely,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4,1,5,2,2,3,1,2,0
25–34,Female,Full-time employed,United Kingdom,Monthly,Amazon,£251–£500,Always,7–10,Customer Photos,Yes,Never,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4,3,5,3,4,4,1,4,0
18–24,Male,Part-time employed,United Kingdom,Monthly,Amazon,Less than £50,Always,7–10,Star Rating,Yes,Rarely,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,3,5,3,1,3,1,9,0
35–44,Male,Full-time employed,United Kingdom,Monthly,Amazon,£50–£100,Sometimes,4–6,Written Review,Yes,Rarely,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4,3,3,2,2,3,1,2,0
25–34,Female,Full-time employed,India,Monthly,Amazon,£101–£250,Always,4–6,Customer Photos,Yes,Never,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4,3,5,2,3,4,1,3,0
18–24,Prefer not to say,Student,India,Monthly,Amazon,Less than £50,Always,More than 10,Customer Photos,Yes,Rarely,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4,3,5,4,1,3,1,5,0
25–34,Female,Unemployed,India,Monthly,Amazon,Less than £50,Always,More than 10,Written Review,No,Rarely,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3,3,5,4,1,3,0,2,0
18–24,Male,Student,India,Every few months,Amazon,Less than £50,Always,More than 10,Star Rating,No,Rarely,5.0,5.0,3.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3,2,5,4,1,3,0,4,0
18–24,Female,Student,India,Weekly,Amazon,£50–£100,Sometimes,1–3,Star Rating,Yes,Sometimes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,4,3,1,2,2,1,11,0
18–24,Male,Full-time employed,India,Every few months,Amazon,Less than £50,Always,More than 10,Written Review,Yes,Sometimes,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3,2,5,4,1,2,1,6,0
18–24,Male,Full-time employed,India,More than once a week,SHEIN,£50–£100,Sometimes,4–6,Verified Purchase Badge,Yes,Rarely,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1,5,3,2,2,3,1,4,0
